Name,Address,Latitude,Longitude,Primary Surface,Secondary Surface,Owner,Number of Courts,Lights/No Lights,Pickleball Lines,Indoor/Outdoor,Public/Private,City,Tennis Club Name,Club Website,Membership,Winter Play,Phone,Type,Public City URL,Indoor Court Type,Notes,Operating Season,Public Hours Monday,Public Hours Tuesday,Public Hours Wednesday,Public Hours Thursday,Public Hours Friday,Public Hours Saturday,Public Hours Sunday,Public Hours Holidays,Public Hours Verified
Continental Tower - 15 Dundonald Street,"15 Dundonald St, Toronto, ON M4Y 1K4",43.6655112,-79.38389552,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,https://www.15dundonaldstreet.com/,,,,,,,,,,,,,,,,,
Citysphere Condominiums Tennis Court,"801 King St W, Toronto, ON M5V 3C9",43.64240332,-79.40597551,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
"Lighthouse West and East Tower Tennis Court
","15 Lower Jarvis St, Toronto, ON M5E 0C3",43.64538432,-79.36901234,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
Pinnacle Centre Tennis Court,"33 Bay St., Toronto, ON M5J 0A3",43.6433323,-79.37658301,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
NXT II Condomiums Tennis Court,"105 The Queensway, Toronto, ON M6S 5B5",43.63580429,-79.47092365,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
60 Southport Street Tennis Court,"60 Southport St, Toronto, ON M6S 3N4",43.63846018,-79.474415,Artificial Grass,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
1 Harbour Square Tennis Court,"1 Harbour Square, Toronto, ON M5J 2H3",43.6412891,-79.37581192,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,Westin Harbour Castle hotel also has access,,,,,,,,,,
Marina Del Rey Condos,"2261 Lake Shore Blvd W, Etobicoke, ON M8V 3X1",43.61939474,-79.48153345,Hardcourt-Acrylic,,Private,2,Lights,No,Outdoor,Condo Complex,Etobicoke,,,,,,,,,,,,,,,,,,,
Palace Pier and Palace Place Tennis Court,"1 Palace Pier Ct, Toronto, ON M8V 3W9",43.63069765,-79.4738572,Hardcourt-Acrylic,,Private,1,Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
460 Queens Quay West,"460 Queens Quay W, Toronto, ON M5V 2Y5",43.63799685,-79.39321017,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
University of Toronto Athletics Centre Tennis Courts,"55 Harbord St, Toronto, ON M5S 2W6",43.66305928,-79.40119545,Hardcourt-Acrylic,,Private,2,Lights,No,Indoor,Private,Toronto,,https://kpe.utoronto.ca/sport-recreationrecreational-fitness-drop-sportsdrop-sports-activities/drop-tenniss,,,,,,,Drop-in play only during select times,,,,,,,,,,
York Condominium Corporation,"1900 Sheppard Ave E, North York, ON M2J 4T4",43.77671013,-79.33628263,Hardcourt-Acrylic,,Private,2,No Lights,No,Outdoor,Condo Complex,North York,,,,,,,,,,,,,,,,,,,
Cedar Grove Appartments,"24 Forest Manor Rd #512, North York, ON M2J 1M3",43.77106776,-79.34569084,Hardcourt-Acrylic,,Private,2,No Lights,No,Outdoor,Condo Complex,North York,,,,,,,,,,,,,,,,,,,
York Gardens Tennis Courts,"5 Parkway Forest Dr, North York, ON M2J 1L2",43.76843124,-79.34523154,Hardcourt-Acrylic,,Private,2,Lights,No,Outdoor,Condo Complex,North York,,,,,,,,,,,,,,,,,,,
Don Mills College Institute Tennis Courts,"15 The Donway E, North York, ON M3C 1X6",43.73655487,-79.33853005,Hardcourt-Acrylic,,TDSB,2,Lights,No,Outdoor,Public School,North York,,,,,,,,,,,,,,,,,,,
"East York Collegiate Institute Tennis Courts
","650 Cosburn Ave., East York, ON M4C 2V2",43.69627844,-79.32556939,Hardcourt-Asphalt,,TDSB,4,No Lights,No,Outdoor,Public School,North York,,,,,,,,,,,,,,,,,,,
"Riverdale Collegiate Institute Tennis Courts
","1094 Gerrard St E, Toronto, ON M4M 2A1",43.67012754,-79.33369764,Hardcourt-Asphalt,,TDSB,4,No Lights,No,Outdoor,Public School,Toronto,,,,,,,,,Permit required,,,,,,,,,,
Otter Creek Centre,"140 Cheritan Ave, Toronto, ON M4R 1S8",43.7210896,-79.40984633,Hardcourt-Asphalt,,City of Toronto,1,No Lights,1,Outdoor,Public,Toronto,,,,,,,,,Shared with Pickleball,,,,,,,,,,
Birchmount Park Collegiate Institute Tennis Courts,"3663 Danforth Ave, Scarborough, ON M1N 2G2",43.6974107,-79.26150354,Hardcourt-Asphalt,,TDSB,2,Lights,No,Outdoor,Public School,Scarborough,,,,,,,,,,,,,,,,,,,
Humberside Collegiate Institute,"280 Quebec Ave, Toronto, ON M6P 2V3",43.65976342,-79.4697926,Hardcourt-Asphalt,,TDSB,4,No Lights,No,Outdoor,Public School,Toronto,,,,,,,,,,,,,,,,,,,
Harbord Collegiate Institute,"286 Harbord St, Toronto, ON M6G 1G5",43.66204291,-79.41414251,Hardcourt-Asphalt,,TDSB,2,No Lights,No,Outdoor,Public School,Toronto,,,,,,,,,,,,,,,,,,,
Parkdale Collegiate Institute,"209 Jameson Ave, Toronto, ON M6K 2Y3",43.63904476,-79.43587358,Hardcourt-Asphalt,,TDSB,2,No Lights,No,Outdoor,Public School,Toronto,,,,,,,,,Permit may be required,,,,,,,,,,
"Silverthorn Collegiate Institute
","291 Mill Rd, Etobicoke, ON M9C 1Y5",43.63915731,-79.5807822,Hardcourt-Acrylic,,TDSB,3,Lights,No,Outdoor,Public School,Toronto,,,,,,,,,,,,,,,,,,,
"Bretton Place Apartments
","44 Jackes Ave, Toronto, ON M4T 3A6",43.68615635,-79.39223042,Artificial Grass,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
The Summerhill,"7 Jackes Ave, Toronto, ON M4T 1E3",43.68438307,-79.39142816,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
The Ports Condominium Complex,"15 Summerhill Ave, Toronto, ON M4T 1A9",43.68300381,-79.39093583,Hardcourt-Acrylic,,Private,1,No Lights,1,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
Upper Canada Court Condominium Complex,"140 Erskine Ave, Toronto, ON M4P 1Z2",43.7130853,-79.39441331,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,,,,,,,,,,,,,,,,,,,
Royal Rose Apartments,"165 La Rose Ave, Etobicoke, ON M9P 3S9",43.68345526,-79.52505691,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Etobicoke,,,,,,,,,,,,,,,,,,,
"Cambridge Place Apartments
","30 Denton Ave, Scarborough, ON M1L 4P2",43.69459415,-79.28815868,Hardcourt-Asphalt,,Private,2,No Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
Cloisters Of The Don,"10 Roanoke Rd, North York, ON M3A 1E7",43.74212519,-79.32950075,Hardcourt-Asphalt,,Private,1,Lights,No,Outdoor,Condo Complex,North York,,,,,,,,,,,,,,,,,,,
The Residences at The Consilium I,"88 Corporate Dr, Scarborough, ON M1H 3G6",43.78097935,-79.25136871,Hardcourt-Acrylic,,Private,4,No Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
"300 Alton Towers
","300 Alton Towers Cir, Scarborough, ON M1V 4X9",43.82452777,-79.2758535,Hardcourt-Acrylic,,Private,3,No Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
"88 Alton Towers Circle
","88 Alton Towers Cir #611, Scarborough, ON M1V 5C5",43.8247082,-79.27379214,Hardcourt-Acrylic,,Private,2,Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
Bridletowne Condonomiums,"3151 Bridletowne Cir #301, Scarborough, ON M1W 2T1",43.79844298,-79.32082747,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
2800 Warden Appartment Complex,"2800 Warden Ave., Scarborough, ON M1W 3Z6",43.79537701,-79.31595187,Hardcourt-Acrylic,,Private,2,No Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
"1230 Bridletowne Circle Appartment Complex
","1230 Bridletowne Cir, Scarborough, ON M1W 2V1",43.7942568,-79.31424258,Hardcourt-Acrylic,,Private,2,No Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
2350 Bridletowne Circle Appartments,"2350 Bridletowne Cir, Scarborough, ON M1W 3E6",43.80082903,-79.31784963,Hardcourt-Acrylic,,Private,2,No Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
2550 Pharmacy Avenue Appartments,"2550 Pharmacy Ave, Scarborough, ON M1W 1H9",43.79368387,-79.32679986,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Scarborough,,,,,,,,,,,,,,,,,,,
Private Residences at Bridle Path,"35 High Point Rd, North York, ON M3C 2R2",43.7318215,-79.3657303,Hardcourt-Acrylic,,Private,25,No Lights,No,Outdoor,Luxury Residences,North York,,,,,,,,,Variety of luxury residences in this neighbourhood/area (over 20+),,,,,,,,,,
